list_name,name,label
qs8tg01,dry,Dry
qs8tg01,wet,Wet
cn55a58,single_phase_fluid,Single Phase Fluid
cn55a58,multiphase_fluid,Multiphase Fluid
lr3gm28,super_critical,Super Critical
lr3gm28,liquid,Liquid
lr3gm28,gas,Gas
lr3gm28,solid,Solid
sr3wj71,super_critical,Super Critical
sr3wj71,liquid,Liquid
sr3wj71,gas,Gas
sr3wj71,solid,Solid
ze9wx62,pa,Pa
ze9wx62,kpa,kPa
ze9wx62,mpa,MPa
ze9wx62,gpa,GPa
ze9wx62,bar,bar
ze9wx62,kbar,kbar
fz2pa27,celsius,Celsius
fz2pa27,kelvin,Kelvin
si9ao54,option_1,Pa
si9ao54,option_2,kPa
si9ao54,mpa,MPa
si9ao54,gpa,GPa
si9ao54,n_m_2,N/m^2
si9ao54,kn_mm_2,kN/mm^2
yh3pr64,constant,Constant
yh3pr64,stepping,Stepping
yh3pr64,static,Static
yh3pr64,quasistatic,QuasiStatic
yh3pr64,dynamic,Dynamic
