list_name,name,label,,order
zw9ye70,m,m,1,
zw9ye70,ft,ft,2,1
zw9ye70,cm,cm,2,2
zw9ye70,in,in,2,3
th1pp14,bed,bed,3,
th1pp14,interbedded,interbedded,11,
th1pp14,package_succe,package (succession of beds),14,
th1pp14,unexposed_cove,unexposed/covered,14,
we36h70,siliciclastic,siliciclastic,13,
we36h70,limestone,limestone,9,1
we36h70,dolomite,dolomite,8,2
we36h70,organic_coal,organic/coal,12,3
we36h70,evaporite,evaporite,9,4
we36h70,chert,chert,5,5
we36h70,ironstone,ironstone,9,6
we36h70,phosphatic,phosphatic,10,7
we36h70,volcaniclastic,volcaniclastic,14,8
vb9ph32,claystone,claystone,9,
vb9ph32,mudstone,mudstone,8,
vb9ph32,shale,shale,5,
vb9ph32,siltstone,siltstone,9,
vb9ph32,sandstone,sandstone,9,
vb9ph32,conglomerate,conglomerate,12,
vb9ph32,breccia,breccia,7,
jm3fd49,clay,clay,4,
jm3fd49,mud,mud,3,
jm3fd49,silt,silt,4,
gf7lv09,sand_very_fin,sand- very fine,13,1
gf7lv09,sand_fine_low,sand- fine lower,13,2
gf7lv09,sand_fine_upp,sand- fine upper,13,3
gf7lv09,sand_medium_l,sand- medium lower,13,4
gf7lv09,sand_medium_u,sand- medium upper,13,5
gf7lv09,sand_coarse_l,sand- coarse lower,13,6
gf7lv09,sand_coarse_u,sand- coarse upper,13,7
gf7lv09,sand_very_coa,sand- very coarse,13,8
jk0sn61,granule,granule,7,
jk0sn61,pebble,pebble,6,
jk0sn61,cobble,cobble,6,
jk0sn61,boulder,boulder,7,
ap2mh08,mudstone,mudstone,8,
ap2mh08,wackestone,wackestone,10,
ap2mh08,packstone,packstone,9,
ap2mh08,grainstone,grainstone,10,
ap2mh08,floatstone,floatstone,10,
ap2mh08,rudstone,rudstone,8,
ap2mh08,boundstone,boundstone,10,
ap2mh08,framestone,framestone,10,
ap2mh08,bindstone,bindstone,9,
ap2mh08,bafflestone,bafflestone,11,
ap2mh08,cementstone,cementstone,11,
ap2mh08,recrystallized,recrystallized,14,
iu3km02,massive_struct,massive/structureless,14,
iu3km02,horizontal,horizontal,14,
iu3km02,ripple_laminat,ripple lamination,14,
iu3km02,symmetric,symmetric,9,
iu3km02,asymmetric,asymmetric,10,
iu3km02,climbing,climbing,8,
iu3km02,interference,interference,12,
iu3km02,flaser,flaser,6,
iu3km02,wavy,wavy,4,
iu3km02,lenticular,lenticular,10,
iu3km02,rhythmic,rhythmic,8,
iu3km02,mud_drape,mud drape,9,
ga9oo42,trough,trough,14,
ga9oo42,hummocky,hummocky,8,1
ga9oo42,planar_tabular,planar tabular,14,2
ga9oo42,festoon,festoon,7,3
ga9oo42,wedge,wedge,14,4
ga9oo42,low_angle,low angle,14,5
ga9oo42,symmetric,symmetric,14,6
ga9oo42,asymmetric,asymmetric,14,7
ga9oo42,climbing,climbing,8,
ga9oo42,interference,interference,12,
ga9oo42,translatent,translatent,11,
ga9oo42,flaser,flaser,6,
ga9oo42,wavy,wavy,4,
ga9oo42,lenticular,lenticular,10,
ga9oo42,starved_ripple,starved ripples,14,
ga9oo42,adhesion,adhesion,8,
ga9oo42,herringbone,herringbone,11,
ga9oo42,sigmoidal,sigmoidal,9,
ga9oo42,tidal_bundle,tidal bundle,12,
ga9oo42,rhythmic,rhythmic,8,
ga9oo42,bi_directional,bi-directional asymmetric,14,
ga9oo42,pinstripe,pinstripe,9,
ga9oo42,massive_struct,massive/structureless,14,
ga9oo42,horizontal,horizontal,14,
ga9oo42,ripple_laminat,ripple lamination,14,
oi98y12,trough,trough,14,
oi98y12,planar_tabular,planar tabular,14,1
oi98y12,festoon,festoon,14,2
oi98y12,wedge,wedge,14,3
oi98y12,low_angle,low angle,14,4
oi98y12,massive_struct,massive/structureless,14,5
oi98y12,horizontal,horizontal,14,6
oi98y12,ripple_laminat,ripple lamination,14,7
og95s36,trough,trough,6,
og95s36,hummocky,hummocky,8,
og95s36,swaley,swaley,6,
og95s36,planar_tabular,planar tabular,14,
og95s36,festoon,festoon,7,
og95s36,symmetric,symmetric,9,
og95s36,asymmetric,asymmetric,10,
og95s36,wavy,wavy,4,
og95s36,massive_struct,massive/structureless,14,
og95s36,horizontal,horizontal,14,
og95s36,ripple_laminat,ripple lamination,14,
so29n97,glass,glass,5,
so29n97,crystals,crystals,8,
so29n97,lithic_frag,lithic fragments,11,
so29n97,volcanic_mudst,volcanic mudstone,14,
so29n97,volcanic_ss,volcanic sandstone,11,
so29n97,lapillistone,lapillistone,12,
so29n97,agglomerate,agglomerate,11,
so29n97,volcanic_brec,volcanic breccia,13,
so29n97,bentonite,bentonite,9,
so29n97,tuff,tuff,4,
so29n97,welded_tuff,welded tuff,11,
so29n97,ignimbrite,ignimbrite,10,
so29n97,other,other,5,
gg6bk97,gyp_anhyd_prim,gypsum - anhydrite primary,14,
gg6bk97,gyp_anhyd_dia,gypsum - anhydrite diagenetic,13,
gg6bk97,halite_primary,halite - primary,14,
gg6bk97,halite_diagene,halite - diagenetic,14,
om8xr30,amber,amber,5,
om8xr30,peat,peat,4,
om8xr30,lignite,lignite,7,
om8xr30,subbituminous,subbituminous,13,
om8xr30,bituminous,bituminous,10,
om8xr30,coal_ball,coal ball,9,
om8xr30,tar,tar,3,
mo7ce83,nodular,nodular,7,
mo7ce83,bedded,bedded,6,
mo7ce83,massive,massive,7,
kl1cz02,lithified,lithified,9,
kl1cz02,poorly_lithifi,poorly lithified,14,
kl1cz02,unlithified_un,unlithified/unconsolidated,14,
kl1cz02,metamorphosed,metamorphosed,13,
jx0op03,1_least_resis,1- least resistant,13,
jx0op03,2,2,1,
jx0op03,3_mod_resist,3- moderately resistant,13,
jx0op03,4,4,1,
jx0op03,5_most_resist,5- most resistant,13,
