list_name,name,label,order
kl5wx08,albite,Albite,
kl5wx08,amphibole,Amphibole,1
kl5wx08,apatite,Apatite,2
kl5wx08,biotite,Biotite,3
kl5wx08,clinopyroxene,Clinopyroxene,4
kl5wx08,epidote,Epidote,5
kl5wx08,hornblende,Hornblende,6
kl5wx08,magnetite,Magnetite,7
kl5wx08,microcline,Microcline,8
kl5wx08,muscovite,Muscovite,9
kl5wx08,olivine,Olivine,10
kl5wx08,opaques,Opaques,11
kl5wx08,orthoclase,Orthoclase,12
kl5wx08,orthopyroxene,Orthopyroxene,13
kl5wx08,plagioclase,Plagioclase,14
kl5wx08,quartz,Quartz,15
kl5wx08,titanite,Titanite,16
kl5wx08,zircon,Zircon,17
tc1kx87,albite,Albite,
tc1kx87,acmite,Acmite,1
tc1kx87,alkali_feldspa,Alkali feldspar,2
tc1kx87,allanite,Allanite,3
tc1kx87,amphibole,Amphibole,4
tc1kx87,anhydrite,Anhydrite,5
tc1kx87,apatite,Apatite,6
tc1kx87,augite,Augite,7
tc1kx87,beryl,Beryl,8
tc1kx87,biotite,Biotite,9
tc1kx87,calcite,Calcite,10
tc1kx87,chalcopyrite,Chalcopyrite,11
tc1kx87,chlorite,Chlorite,12
tc1kx87,chromite,Chromite,13
tc1kx87,clay,Clay,14
tc1kx87,clinopyroxene,Clinopyroxene,15
tc1kx87,cr_diopside,Cr-diopside,16
tc1kx87,diamond,Diamond,17
tc1kx87,epidote,Epidote,18
tc1kx87,galena,Galena,19
tc1kx87,garnet,Garnet,20
tc1kx87,goethite,Goethite,21
tc1kx87,hornblende,Hornblende,22
tc1kx87,hypersthene,Hypersthene,23
tc1kx87,ilmenite,Ilmenite,24
tc1kx87,k_feldspar,K-feldspar,25
tc1kx87,kaersutite,Kaersutite,26
tc1kx87,lepidolite,Lepidolite,27
tc1kx87,leucite,Leucite,28
tc1kx87,limonite,Limonite,29
tc1kx87,magnetite,Magnetite,30
tc1kx87,melilite,Melilite,31
tc1kx87,microcline,Microcline,32
tc1kx87,monazite,Monazite,33
tc1kx87,muscovite,Muscovite,34
tc1kx87,na_pyroxene,Na pyroxene,35
tc1kx87,nepheline,Nepheline,36
tc1kx87,olivine,Olivine,37
tc1kx87,opaques,Opaques,38
tc1kx87,orthoclase,Orthoclase,39
tc1kx87,orthopyroxene,Orthopyroxene,40
tc1kx87,perovskite,Perovskite,41
tc1kx87,plagioclase,Plagioclase,42
tc1kx87,pyrite,Pyrite,43
tc1kx87,pyrrhotite,Pyrrhotite,44
tc1kx87,quartz,Quartz,45
tc1kx87,rutile,Rutile,46
tc1kx87,sanidine,Sanidine,47
tc1kx87,sphalerite,Sphalerite,48
tc1kx87,spinel,Spinel,49
tc1kx87,spodumene,Spodumene,50
tc1kx87,titanite,Titanite,51
tc1kx87,topaz,Topaz,52
tc1kx87,tourmaline,Tourmaline,53
tc1kx87,xenotime,Xenotime,54
tc1kx87,zeolite,Zeolite,55
tc1kx87,zircon,Zircon,56
