list_name,name,label,order
hc7ju75,igneous,igneous,
hc7ju75,metamorphic,metamorphic,
hc7ju75,alteration_or,"alteration, ore",
tf05s47,volcanic,volcanic,
tf05s47,plutonic,plutonic,
vb8zj01,granite,granite,
vb8zj01,granodiorite,granodiorite,1
vb8zj01,diorite,diorite,2
vb8zj01,gabbro,gabbro,3
vb8zj01,alkali_granite,alkali feldspar granite,4
vb8zj01,anorthosite,anorthosite,5
vb8zj01,aplite,aplite,6
vb8zj01,diabase,diabase,7
vb8zj01,dunite,dunite,8
vb8zj01,harzburgite,harzburgite,9
vb8zj01,monzonite,monzonite,10
vb8zj01,norite,norite,11
vb8zj01,pegmatite,pegmatite,12
vb8zj01,peridotite,peridotite,13
vb8zj01,quartz_monz,quartz monzonite,14
vb8zj01,syenite,syenite,15
vb8zj01,tonalite,tonalite,16
vb8zj01,unclear,unclear,17
vb8zj01,other,other,18
nx1fj58,strabotools,StraboTools,
nx1fj58,visual,visual,
cm8zx92,pluton,pluton,
cm8zx92,dike,dike,
cm8zx92,sill,sill,
cm8zx92,unclear,unclear,
cm8zx92,other,other,
ug9ia66,fine_grained,fine-grained,
ug9ia66,medium_grained,medium-grained,1
ug9ia66,coarse_grained,coarse-grained,2
ug9ia66,porphyritic,porphyritic,3
ug9ia66,pegmatitic,pegmatitic,4
ug9ia66,equigranular,equigranular,5
ug9ia66,megacrystic,megacrystic,6
ug9ia66,aplitic,aplitic,7
ug9ia66,miarolitic,miarolitic,8
ug9ia66,diabasic,diabasic,9
ug9ia66,seriate,seriate,10
ug9ia66,other,other,11
pt2tr54,altered,altered,
pt2tr54,metamorphic_ov,metamorphic overprint,1
pt2tr54,shattered,shattered,2
pt2tr54,veined,veined,3
pt2tr54,faulted,faulted,4
pt2tr54,grus,grus,5
pt2tr54,jointed,jointed,6
pt2tr54,hydrothermal_v,hydrothermal veins,7
pt2tr54,other,other,8
hr56r07,basalt,basalt,
hr56r07,rhyolite,rhyolite,1
hr56r07,basaltic_andes,basaltic-andesite,2
hr56r07,andesite,andesite,3
hr56r07,dacite,dacite,4
hr56r07,obsidian,obsidian,5
hr56r07,tachylite,tachylite,6
hr56r07,trachyte,trachyte,7
hr56r07,rhyodacite,rhyodacite,8
hr56r07,trachyandesite,trachyandesite,9
hr56r07,trachybasalt,trachybasalt,10
hr56r07,latite,latite,11
hr56r07,tuff,tuff,12
hr56r07,ash_fall_tuff,ash-fall tuff,13
hr56r07,ash_flow_tuff,ash-flow tuff,14
hr56r07,vitrophyre,vitrophyre,15
hr56r07,tuff_breccia,tuff breccia,16
hr56r07,lapilli_tuff,lapilli tuff,17
hr56r07,unclear,unclear,18
hr56r07,other,other,19
ez5mj87,lava,lava,
ez5mj87,dome,dome,
ez5mj87,pyroclastic_fl,pyroclastic flow,
ez5mj87,pyroclastic_fa,pyroclastic fall,
ez5mj87,pyroclastic_su,pyroclastic surge,
ez5mj87,reworked,reworked,
ez5mj87,unclear,unclear,
ez5mj87,other,other,
jx1rw50,porrphyritic,porphyritic,
jx1rw50,clastic,clastic,
jx1rw50,glassy,glassy,
jx1rw50,vesicular,vesicular,
jx1rw50,eutaxitic,eutaxitic,
jx1rw50,devitrified,devitrified,
jx1rw50,aphanitic,aphanitic,
jx1rw50,stony,stony,
jx1rw50,vuggy,vuggy,
jx1rw50,xenoliths,xenoliths,
jx1rw50,other,other,
kc4rs46,columnar_joint,columnar jointed,
kc4rs46,eutaxitic,banded,
kc4rs46,welded,welded,
kc4rs46,layered,layered,
kc4rs46,cross_bedded,cross-bedded,
kc4rs46,other,other,
zw3kc97,slate,slate,
zw3kc97,marble,marble,1
zw3kc97,schist,schist,2
zw3kc97,quartzite,quartzite,3
zw3kc97,migmatite,migmatite,4
zw3kc97,phyllite,phyllite,6
zw3kc97,amphibolite,amphibolite,7
zw3kc97,blueschist,blueschist,8
zw3kc97,greenschist,greenschist,9
zw3kc97,granulite,granulite,11
zw3kc97,calc_silicate,calc-silicate,12
zw3kc97,eclogite,eclogite,13
zw3kc97,gneiss,gneiss,14
zw3kc97,granofels,granofels,15
zw3kc97,hornfels,hornfels,17
zw3kc97,skarn,skarn,18
zw3kc97,serpentinite,serpentinite,19
zw3kc97,metabasite,metabasite,27
zw3kc97,metagreywacke,metagreywacke,30
zw3kc97,metapelite,metapelite,32
zw3kc97,peridotite,peridotite,42
zw3kc97,more_options,more options,44
zb6gu03,greenstone,greenstone,
zb6gu03,mylonite,mylonite,1
zb6gu03,cataclasite,cataclasite,2
zb6gu03,phyllonite,phyllonite,3
zb6gu03,other,other,4
qv6gx56,orthogneiss,orthogneiss,
qv6gx56,paragneiss,paragneiss,
zt6bn36,pelite,mudrock/pelite,
zt6bn36,sandstone,sandstone,1
zt6bn36,greywacke,greywacke/psammite,2
zt6bn36,conglomerate,conglomerate,3
zt6bn36,marl,marl,4
zt6bn36,carbonate,carbonate,5
zt6bn36,granitoid,granitoid,6
zt6bn36,mafic,mafic,7
zt6bn36,ultramafic,ultramafic,8
zt6bn36,unclear,unclear,9
zt6bn36,other,other,10
kt0dp56,zeolite,zeolite,
kt0dp56,prehnite_pumpy,prehnite-pumpyellite,1
kt0dp56,greenschist,greenschist,2
kt0dp56,amphibolite,amphibolite,3
kt0dp56,granulite,granulite,4
kt0dp56,blueschist,blueschist,5
kt0dp56,eclogite,eclogite,6
kt0dp56,hornfels,hornfels,7
kt0dp56,ultra_high_pre,ultra-high pressure,8
kt0dp56,ultra_high_tem,ultra-high temperature,9
kt0dp56,other,other,10
nw3zz67,chlorite,chlorite,
nw3zz67,biotite,biotite,1
nw3zz67,garnet,garnet,2
nw3zz67,garnet_corider,garnet-coriderite,3
nw3zz67,staurolite,staurolite,4
nw3zz67,staurolite_kya,staurolite-kyanite,5
nw3zz67,andalusite,andalusite,6
nw3zz67,kyanite,kyanite,7
nw3zz67,sillimanite,sillimanite,8
nw3zz67,sill_kspar,sillimanite-K feldspar,9
nw3zz67,migmatite,migmatite,
nw3zz67,other,other,
uq4ie19,skarn,skarn,
uq4ie19,hornfels,hornfels,1
uq4ie19,dolorite_mica_,dolorite/mica replacement,2
uq4ie19,rhodingite,rodingite,3
uq4ie19,carbonatite,carbonatite,4
uq4ie19,chromite_ore,chromite ore,5
uq4ie19,magmatic_hoste,magmatic-hosted ore,6
uq4ie19,pegmatite_host,pegmatite-hosted ore,7
uq4ie19,vein_hosted_or,vein-hosted ore,8
uq4ie19,greisen_ore,greisen ore,9
uq4ie19,carbonate_repl,carbonate-replacement,10
uq4ie19,bif,BIF,11
uq4ie19,sedimentary_pr,sedimentary precipitated ore,12
uq4ie19,sedimentary_ho,sedimentary hosted ore (U),13
uq4ie19,kimberlite,kimberlite,14
uq4ie19,komatiites,komatiites,15
uq4ie19,placer,placer,16
uq4ie19,laterite,laterite,17
uq4ie19,other,other,18
xa5un89,propylitic,propylitic,
xa5un89,albite_epidote,albite-epidote,
xa5un89,potassic,potassic,
xa5un89,sodic_calcic,sodic-calcic,
xa5un89,chlorite_seric,chlorite-sericite,
xa5un89,phyllitic,phyllic,
xa5un89,argellic,argillic,
xa5un89,other,other,
